,LongDest,LatDest,LongOrig,LatOrig
0,-51.175381099999996,-29.9934732,-49.1724811,-25.5327132
1,-80.28704570000001,25.795865,-51.175381099999996,-29.9934732
5,-49.1724811,-25.5327132,-80.28704570000001,25.795865
93,-47.9172348,-15.869736900000001,-80.28704570000001,25.795865
124,-80.28704570000001,25.795865,-47.9172348,-15.869736900000001
155,-38.3312411,-12.9110977,-80.28704570000001,25.795865
172,-80.28704570000001,25.795865,-38.3312411,-12.9110977
189,-46.478126,-23.434552899999996,-80.28704570000001,25.795865
215,-80.28704570000001,25.795865,-46.478126,-23.434552899999996
246,-34.924015399999995,-8.1259315,-80.28704570000001,25.795865
273,-80.28704570000001,25.795865,-34.924015399999995,-8.1259315
300,-43.2494233,-22.8134098,-80.28704570000001,25.795865
319,-80.28704570000001,25.795865,-43.2494233,-22.8134098
412,-47.1375685,-23.008205,-80.28704570000001,25.795865
505,-73.77813909999999,40.6413111,-46.478126,-23.434552899999996
536,-46.478126,-23.434552899999996,-73.77813909999999,40.6413111
567,-60.046324899999995,-3.0358473999999998,-80.28704570000001,25.795865
598,-80.28704570000001,25.795865,-60.046324899999995,-3.0358473999999998
629,-43.2494233,-22.8134098,-73.77813909999999,40.6413111
660,-73.77813909999999,40.6413111,-43.2494233,-22.8134098
709,-43.965396000000005,-19.634099,-80.28704570000001,25.795865
740,-80.28704570000001,25.795865,-43.965396000000005,-19.634099
802,-80.28704570000001,25.795865,-47.1375685,-23.008205
833,-46.478126,-23.434552899999996,-79.6248197,43.6777176
864,-79.6248197,43.6777176,-46.478126,-23.434552899999996
895,-43.2494233,-22.8134098,-79.6248197,43.6777176
908,-79.6248197,43.6777176,-43.2494233,-22.8134098
921,-46.478126,-23.434552899999996,-3.5679515,40.4839361
952,-3.5679515,40.4839361,-46.478126,-23.434552899999996
983,-38.3312411,-12.9110977,-3.5679515,40.4839361
996,-3.5679515,40.4839361,-38.3312411,-12.9110977
1009,-43.2494233,-22.8134098,2.5479244999999997,49.0096906
1040,2.5479244999999997,49.0096906,-43.2494233,-22.8134098
1107,-46.478126,-23.434552899999996,2.5479244999999997,49.0096906
1169,2.5479244999999997,49.0096906,-46.478126,-23.434552899999996
1231,2.5479244999999997,49.0096906,-47.9172348,-15.869736900000001
1244,-47.9172348,-15.869736900000001,2.5479244999999997,49.0096906
1257,-46.478126,-23.434552899999996,-74.14449690000001,4.7014128
1288,-74.14449690000001,4.7014128,-46.478126,-23.434552899999996
1319,-51.175381099999996,-29.9934732,-58.534828399999995,-34.8150044
1320,-58.534828399999995,-34.8150044,-51.175381099999996,-29.9934732
1321,-46.478126,-23.434552899999996,-58.536758999999996,-34.816662
1342,-58.536758999999996,-34.816662,-46.478126,-23.434552899999996
1443,-43.2494233,-22.8134098,-58.536758999999996,-34.816662
1465,-58.536758999999996,-34.816662,-43.2494233,-22.8134098
1539,-43.2494233,-22.8134098,-58.534828399999995,-34.8150044
1570,-58.534828399999995,-34.8150044,-43.2494233,-22.8134098
1663,-48.5459657,-27.670118,-58.536758999999996,-34.816662
1673,-58.536758999999996,-34.816662,-48.5459657,-27.670118
1683,-48.5459657,-27.670118,-58.534828399999995,-34.8150044
1710,-58.534828399999995,-34.8150044,-48.5459657,-27.670118
1797,-38.3312411,-12.9110977,-58.534828399999995,-34.8150044
1824,-58.534828399999995,-34.8150044,-38.3312411,-12.9110977
1851,-39.0821431,-16.4395303,-58.536758999999996,-34.816662
1859,-58.536758999999996,-34.816662,-39.0821431,-16.4395303
1867,-39.0821431,-16.4395303,-58.534828399999995,-34.8150044
1872,-58.534828399999995,-34.8150044,-39.0821431,-16.4395303
1905,-51.175381099999996,-29.9934732,-58.536758999999996,-34.816662
1937,-58.536758999999996,-34.816662,-51.175381099999996,-29.9934732
2039,-43.965396000000005,-19.634099,-58.536758999999996,-34.816662
2052,-58.536758999999996,-34.816662,-43.965396000000005,-19.634099
2066,-49.1724811,-25.5327132,-58.536758999999996,-34.816662
2089,-58.536758999999996,-34.816662,-49.1724811,-25.5327132
2112,-47.9172348,-15.869736900000001,-58.534828399999995,-34.8150044
2130,-58.534828399999995,-34.8150044,-47.9172348,-15.869736900000001
2223,-46.478126,-23.434552899999996,-58.534828399999995,-34.8150044
2254,-58.534828399999995,-34.8150044,-46.478126,-23.434552899999996
2473,-74.14449690000001,4.7014128,-43.2494233,-22.8134098
2504,-43.2494233,-22.8134098,-74.14449690000001,4.7014128
2535,-43.2494233,-22.8134098,12.592979,41.7990531
2566,12.592979,41.7990531,-43.2494233,-22.8134098
2597,-46.478126,-23.434552899999996,12.592979,41.7990531
