,airport,LongOrig,LatOrig
0,Afonso Pena,-49.1724811,-25.5327132
1,Salgado Filho,-51.175381099999996,-29.9934732
5,Miami,-80.28704570000001,25.795865
124,Presidente Juscelino Kubitschek,-47.9172348,-15.869736900000001
172,Deputado Luis Eduardo Magalhaes,-38.3312411,-12.9110977
215,Guarulhos - Governador Andre Franco Montoro,-46.478126,-23.434552899999996
273,Guararapes - Gilberto Freyre,-34.924015399999995,-8.1259315
319,Aeroporto Internacional Do Rio De Janeiro/Galeao,-43.2494233,-22.8134098
536,New York,-73.77813909999999,40.6413111
598,Eduardo Gomes,-60.046324899999995,-3.0358473999999998
740,Tancredo Neves,-43.965396000000005,-19.634099
802,Viracopos,-47.1375685,-23.008205
833,Toronto,-79.6248197,43.6777176
921,Madrid,-3.5679515,40.4839361
1009,Paris,2.5479244999999997,49.0096906
1257,Bogota,-74.14449690000001,4.7014128
1319,Buenos Aires,-58.534828399999995,-34.8150044
1321,Buenos Aires/Aeroparque,-58.536758999999996,-34.816662
1673,Hercilio Luz,-48.5459657,-27.670118
1859,Porto Seguro,-39.0821431,-16.4395303
2535,Roma,12.592979,41.7990531
2685,Santos Dumont,-43.1648755,-22.911143799999998
2862,Eurico De Aguiar Salles,-40.2835346,-20.257648899999996
3212,Leite Lopes,-47.7751674,-21.134750699999998
3259,Altamira,-52.2490864,-3.2535656000000004
3264,Val De Cans,-48.4775227,-1.3820615
3322,Marechal Rondon,-56.117268700000004,-15.653078599999999
3373,Pampulha - Carlos Drummond De Andrade,-43.9548899,-19.8498475
3461,Zumbi Dos Palmares,-35.792882899999995,-9.5116056
3492,Prefeito Renato Moreira,-47.4560696,-5.5316945
3678,Brigadeiro Lysias Rodrigues,-48.3575251,-10.294325599999999
3788,Barreiras,-45.010200299999994,-12.078983000000001
3888,Congonhas,-46.6565842,-23.6273246
3893,Coronel Altino Machado,-41.9854826,-18.897595499999998
3955,Governador Aluizio Alves,-35.3673819,-5.768370200000001
3963,Governador Jose Richa,-51.133159899999995,-23.332071399999997
4116,Governador Jorge Teixeira De Oliveira,-63.89832,-8.7141702
4293,Macapa,-51.067109499999994,0.05000809999999999
4361,Ministro Victor Konder,-48.649086700000005,-26.8805344
4433,Regional De Maringa - Silvio Name Junior,-52.0164842,-23.4766098
4464,Cataratas,-54.4909265,-25.5938142
4516,Santa Genoveva,-49.2221166,-16.632488000000002
4547,General Leite De Castro,-50.958645700000005,-17.836782
4599,Bahia - Jorge Amado,-39.0317095,-14.8140511
4619,Presidente Prudente,-51.4176625,-22.1783402
4867,Tenente-Coronel Aviador Cesar Bombonato,-48.2308653,-18.888969
4951,Mario De Almeida Franco,-47.9623702,-19.766046399999997
5003,Usiminas,-42.4876846,-19.4744301
5277,Marechal Cunha Machado,-44.2348802,-2.5849927000000004
5627,Vitoria Da Conquista,-40.863057299999994,-14.8662434
5897,Campo Grande,-54.6741233,-20.4686937
6144,Teixeira De Freitas,-39.6695735,-17.522716600000003
6253,Professor Eriberto Manoel Reino,-49.4066209,-20.8159034
6295,Presidente Joao Batista Figueiredo,-55.5814853,-11.8786454
6484,Regional Da Zona Da Mata,-43.1709909,-21.514326800000003
6567,Deputado Benedito Santiago,-56.105199600000006,-9.8723571
6661,Mario Ribeiro,-43.8200869,-16.704617199999998
6868,Maraba,-49.1369385,-5.3717191
